Sexo;Edad;Nacionalidad;Viaja_solo;Viaja_pareja;Viaja_hijo;Viaja_amigos;Viaja_otros;Noches;Tipo_alojamiento;Coste_vuelos;Coste_alojamiento;Gastos;Horas_fuera_alojamiento;Visitas_totales_Islas;Visitas_total_GC;Calificacion;Repetiria;Nivel_educativo;Situacion_laboral;Ingresos;Personas_hogar;Cuatrimestre;Año
1;70;Francia;No;Si;No;No;No;7;4;700;600;1000;10;3;1;3;5;4;6;1;2;Q1;2022
6;59;Paises Bajos;No;No;No;No;Si;8;3;756;1038;332;2;3;2;4;10;3;1;2;1;Q2;2022
6;58;Paises Bajos;No;No;Si;No;No;7;2;1004;1655;1391;5;1;0;4;9;4;1;4;5;Q3;2022
1;44;Francia;No;Si;No;No;No;9;2;1500;3500;500;10;5;1;3;10;4;1;4;2;Q1;2022
1;38;Paises Bajos;No;Si;No;No;No;4;4;305;419;556;7;3;2;3;9;3;1;2;5;Q2;2022
6;44;Bélgica;No;No;Si;No;No;9;2;1136;1762;1103;3;10;10;3;10;4;1;3;4;Q2;2022
1;28;Bélgica;No;Si;No;No;No;5;3;419;681;150;4;2;0;3;6;4;1;2;1;Q3;2022
6;57;Paises Bajos;No;Si;No;No;No;7;3;642;1058;30;12;4;2;3;6;4;1;4;4;Q3;2022
1;57;Suiza;No;Si;No;No;No;10;4;672;864;700;12;2;2;3;6;4;2;4;2;Q1;2022
6;65;Paises Bajos;No;Si;No;No;No;7;6;545;749;706;8;8;6;4;5;3;2;2;2;Q2;2022
1;30;Paises Bajos;No;Si;No;No;No;7;2;831;1369;430;6;4;0;3;3;4;1;3;2;Q3;2022
6;51;Suecia;No;Si;No;No;No;7;3;364;889;547;7;14;13;3;10;4;2;2;2;Q1;2022
1;30;Paises Bajos;No;Si;No;No;No;4;4;502;828;500;10;3;1;3;7;4;1;4;2;Q3;2022
1;62;Alemania;No;Si;No;No;No;29;5;800;3.800;3900;5;16;1;4;10;4;2;3;2;Q1;2022
6;41;Suiza;No;No;Si;No;No;6;3;1553;2109;1288;10;2;2;4;10;4;1;3;4;Q2;2022
1;58;Paises Bajos;Si;No;No;No;No;14;4;589;970;241;3;2;2;4;7;3;1;3;1;Q3;2022
1;30;Suecia;No;Si;No;No;No;7;2;961;961;500;15;2;2;3;10;4;1;4;2;Q1;2022
6;69;Suiza;Si;No;No;No;No;7;3;306;415;812;10;11;10;3;10;3;1;2;1;Q2;2022
1;69;Suiza;No;Si;No;No;No;7;4;668;907;912;4;3;2;3;10;3;1;4;4;Q2;2022
1;39;Irlanda;No;No;Si;No;No;5;1;250;1600;2000;5;7;6;3;10;1;2;4;3;Q1;2022
6;33;Irlanda;Si;No;No;No;No;6;4;500;382;285;10;23;23;3;10;4;1;3;2;Q1;2022
6;24;Paises Bajos;No;Si;No;No;No;5;3;581;956;881;15;2;1;4;10;4;2;1;2;Q3;2022
6;45;Suiza;No;No;Si;No;No;7;3;1392;1.890;997;1;5;5;3;5;4;1;4;4;Q2;2022
